Search Term,Tweet Text,URL
Trump,RT @JackPosobiec: Vets Launch Support Trump Movement https://t.co/FdxA5FBrD8,https://www.infowars.com/active-duty-military-vets-launch-national-movement-to-support-trump/
Trump,RT @DerekCressman: Ok Senator.  Force the GOP to do something about it https://t.co/xzJnzod70b,http://m.dailykos.com/story/2017/3/8/1641571/-Sen-Dianne-Feinstein-Donald-Trump-is-blatantly-defying-the-Constitution-s-Emoluments-Clause
Trump,クラブの6,
Trump,@dolan77 @BowIOfGames He's gone from anti trump to pro trump to anti trump to pro trump now 😂😂😂 https://t.co/b7BY4MKArm,
Trump,RT @tedlieu: BRING IT ON! American public needs to know why US officials believed agents of a foreign power were at Trump Tower. https://t.…,
Trump,"RT @FullFrontalSamB: The Trump WH is so feminist, EVERY day is Day Without a Woman. https://t.co/rYZeYo04kn",
Trump,RT @Zegota42: CIA providing raw classified info to House &amp; Senate Intel committees as #TrumpRussia probes heat up h/t @_JakubJanda https://…,
Trump,RT @brianklaas: Trump's deportation force to be paid for by gutting agencies that fight terrorism/smuggling &amp; provide disaster aid. https:/…,
Trump,"RT @marcushjohnson: I think 20, 25 years from now they'll lool back at Trump as a dying gasp of white nationalism trying to beat back chang…",
Trump,"RT @funder: #BREAKING: Schiff to seek testimony from Trump 'dossier' author 

@RepAdamSchiff #trumprussia #russiagate #resist https://t.co/…",
Trump,RT @MicheleBell_NY: @realDonaldTrump Make #childhoodcancer a national priority. #StepUp #Trump Team @IvankaTrump @LaraLeaTrump @EricTrump #…,
Trump,RT @Brasilmagic: 60 year old rural voters making $20-$40k per year will be crushed by Trump's healthcare plan. Up to $7 thousand per year m…,
Trump,"RT @funder: As you celebrate Intl #womensday don't forget-Trump doesn't respect women-here's a reminder.

#IWD2017 #trumprussia https://t.c…",
Trump,"RT @EmfingerSScout: @seanhannity The #Obama #CIA Used ""Hacking-Tools"" to #Spy &amp; Store Info at Utah Data Center for All #Americans &amp; #Leaked…",
Trump,RT @EricLiptonNYT: Politico scoop: Authorities looked into Manafort protégé  with suspected ties to Russian intelligence  https://t.co/5SDh…,
Trump,"Me: I don't really like avacadoes
Some convervative twat: why do you hate trump?",
Trump,Planned Parenthood head accuses Trump of LYING about offer to KEEP funding… https://t.co/XV9FHhf4jz,http://zpr.io/PK94b
Trump,"RT @chelseahandler: PP rejects Trump’s proposal to stop abortion services. Speaking of abortions, I say we yank this big baby out of the Ov…",
Trump,RT @FoxNews: Ivanka Trump's fashion sales are skyrocketing despite boycott calls  https://t.co/ioT3qcqpSC via @Fox411 https://t.co/PHQ7hpR9…,http://fxn.ws/2lEdKUK
Trump,"RT @funder: Just got two press call about the Trump Dossier Analysis! And they're gonna cover it! It's working! #trumprussia

https://t.co/…",
Trump,"@KimDotcom @JamesF7059883 

Kim, WE got lucky Trump won. If Obama setup such an apparatus over the yrs, I cringe at thought HRC handed keys.",
Trump,RT @Sophia4Trump: VIDEO : Melania Trump Gets a Standing Ovation at “International Women’s Day” Luncheon https://t.co/00ZZ9Jkp8F https://t.c…,http://POTUS.TrumpNewss.com/KN8
Trump,RT @funder: .Today we found these photos of Russian Amb Kislyak at Trumps speech &amp; Trump Jr &amp; Kushner seated near him #trumprussia #russiag…,
Trump,trump can suck my dick https://t.co/t6WhaWvUtB,https://twitter.com/astrocky/status/839704759980343296
Trump,"RT @RVAwonk: Sean Spicer is now calling evidence on #TrumpRussia ties a ""fake narrative"" ... while also saying Trump's wiretap allegations…",
Trump,"RT @TeaPainUSA: You can't swing a dead cat without hittin' a Russian tied to the Trump campaign. #TrumpRussia

https://t.co/IKV7LpPxJi",http://www.politico.com/story/2017/03/trump-russia-manafort-235850
Trump,"RT @RawStory: ‘Everyday, a new piece falls into place’: Maddow brilliantly spells out the Trump-Russia connection https://t.co/gopNuK86od h…",http://ow.ly/UCoy309JhW7
Trump,"The X-Rated Files

""The truth about Trump is out there""

#RussianTVShow",
Trump,"RT @AltStateDpt: RT if you want to see Trump's 2010 tax returns. According to the IRS, the audit window is 3-6 years.

They are out of excu…",
